id,topic_id,timestamp,data
10,11,1714499529892998961,"[-0.0023916949421205363, 0.0, -0.00039308939576911404, 0.0, -0.0023916949421205363, -1.0739968971827775e-05, -0.0023916949421205363, 0.0, -0.0004587356054606204, 0.0, -0.0023916949421205363, 0.00011306837460297488]"
20,11,1714499529993888640,"[-0.0023511648924551404, 0.0, -0.0003864280392336785, 0.0, -0.0023511648924551404, -9.19043662527538e-06, -0.0023511648924551404, 0.0, -0.00045096179762870695, 0.0, -0.0023511648924551404, 0.00011115229962303573]"
31,11,1714499530093440827,"[-0.0023511648924551404, 0.0, -0.0003864280392336785, 0.0, -0.0023511648924551404, -9.19043662527538e-06, -0.0023511648924551404, 0.0, -0.00045096179762870695, 0.0, -0.0023511648924551404, 0.00011115229962303573]"
42,11,1714499530193866630,"[-0.0023503557735946243, 0.0, -0.00033304742708764476, 0.0, -0.0023503557735946243, -3.1060241519402856e-05, -0.0023503557735946243, 0.0, -0.0003975589771376842, 0.0, -0.0023503557735946243, 8.924108054399206e-05]"
53,11,1714499530295063567,"[-0.0023104944101787132, 0.0, -0.00020861714245497303, 0.0, -0.0023104944101787132, -2.112634002808194e-05, -0.0023104944101787132, 0.0, -0.00027002134255749713, 0.0, -0.0023104944101787132, 9.31030793655757e-05]"
64,11,1714499530392964451,"[-0.0023064313055487264, 0.0, -8.867241196092888e-05, 0.0, -0.0023064313055487264, 2.1839203841505797e-05, -0.0023064313055487264, 0.0, -0.00014896377407907585, 0.0, -0.0023064313055487264, 0.00013586774584685454]"
75,11,1714499530492993126,"[-0.0023071408923987322, 0.0, 2.890463411126288e-05, 0.0, -0.0023071408923987322, 4.868442245500904e-05, -0.0023071408923987322, 0.0, -3.241044217607166e-05, 0.0, -0.0023071408923987322, 0.00016274804599681526]"
86,11,1714499530593008533,"[-0.0023098089132401163, 0.0, 0.00013963409342287715, 0.0, -0.0023098089132401163, 3.799290755112777e-05, -0.0023098089132401163, 0.0, 7.623545608184908e-05, 0.0, -0.0023098089132401163, 0.00015218843639869836]"
97,11,1714499530692867272,"[-0.002315482648971673, 0.0, 0.00023883943542361982, 0.0, -0.002315482648971673, 3.269912450962608e-05, -0.002315482648971673, 0.0, 0.00017326746886390352, 0.0, -0.002315482648971673, 0.0001471751593543346]"
108,11,1714499530793403026,"[-0.002369914248704457, 0.0, 0.00033944528273554533, 0.0, -0.002369914248704457, 2.519718591177064e-05, -0.002369914248704457, 0.0, 0.00027233187208897526, 0.0, -0.002369914248704457, 0.00014512115842564468]"
119,11,1714499530893675222,"[-0.0024153453711870184, 0.0, 0.0004406600817360896, 0.0, -0.0024153453711870184, 1.3036465409748257e-05, -0.0024153453711870184, 0.0, 0.0003701554963021095, 0.0, -0.0024153453711870184, 0.00013666423472788184]"
130,11,1714499530993846183,"[-0.00244143011821061, 0.0, 0.0005454041743965353, 0.0, -0.00244143011821061, -8.123240202300573e-06, -0.00244143011821061, 0.0, 0.00047201082466293394, 0.0, -0.00244143011821061, 0.00011541962576885789]"
141,11,1714499531093852323,"[-0.0024853084148113614, 0.0, 0.000659154072961808, 0.0, -0.0024853084148113614, -2.995254871033941e-05, -0.0024853084148113614, 0.0, 0.0005801105166864385, 0.0, -0.0024853084148113614, 0.00010014733884347189]"
152,11,1714499531193737754,"[-0.0025412145478451225, 0.0, 0.0007780531766790578, 0.0, -0.0025412145478451225, -5.1319322230837744e-05, -0.0025412145478451225, 0.0, 0.0006950172728156744, 0.0, -0.0025412145478451225, 8.466325931745919e-05]"
163,11,1714499531293853224,"[-0.0025988683267666804, 0.0, 0.0008930799312803675, 0.0, -0.0025988683267666804, -7.364610262580439e-05, -0.0025988683267666804, 0.0, 0.0008058956237332296, 0.0, -0.0025988683267666804, 6.844479288578722e-05]"
174,11,1714499531393877837,"[-0.002609739453044029, 0.0, 0.000935473705945731, 0.0, -0.002609739453044029, -8.913344948710997e-05, -0.002609739453044029, 0.0, 0.0008456507043855739, 0.0, -0.002609739453044029, 5.05159588221156e-05]"
185,11,1714499531492945218,"[-0.0026023126694141694, 0.0, 0.0009282764820965687, 0.0, -0.0026023126694141694, -7.97981421281888e-05, -0.0026023126694141694, 0.0, 0.0008387090983900613, 0.0, -0.0026023126694141694, 6.248106986184451e-05]"
196,11,1714499531593101336,"[-0.0026422580747425006, 0.0, 0.0009759093526952644, 0.0, -0.0026422580747425006, -7.641251329481256e-05, -0.0026422580747425006, 0.0, 0.0008838159452967742, 0.0, -0.0026422580747425006, 6.958752192788005e-05]"
207,11,1714499531693765062,"[-0.0026301493855590847, 0.0, 0.0010046679198649697, 0.0, -0.0026301493855590847, -7.300273813038521e-05, -0.0026301493855590847, 0.0, 0.0009118506572502564, 0.0, -0.0026301493855590847, 6.926862284602146e-05]"
218,11,1714499531793669692,"[-0.0026705537784190592, 0.0, 0.0010212651383073677, 0.0, -0.0026705537784190592, -6.325110456271909e-05, -0.0026705537784190592, 0.0, 0.0009258585202208738, 0.0, -0.0026705537784190592, 8.275913150011616e-05]"
229,11,1714499531893064850,"[-0.0026590520384511453, 0.0, 0.0010145497088977315, 0.0, -0.0026590520384511453, -6.607191102107986e-05, -0.0026590520384511453, 0.0, 0.0009218709637699559, 0.0, -0.0026590520384511453, 8.240269830705452e-05]"
240,11,1714499531992906372,"[-0.0026689201027551373, 0.0, 0.0010404077140027535, 0.0, -0.0026689201027551373, -5.389831050581531e-05, -0.0026689201027551373, 0.0, 0.0009438966760529347, 0.0, -0.0026689201027551373, 9.512730608775551e-05]"
251,11,1714499532093079127,"[-0.002657737627146372, 0.0, 0.001041838080765954, 0.0, -0.002657737627146372, -5.831002063529039e-05, -0.002657737627146372, 0.0, 0.0009445735015734436, 0.0, -0.002657737627146372, 8.85453493549635e-05]"
262,11,1714499532193020849,"[-0.002657737627146372, 0.0, 0.001041838080765954, 0.0, -0.002657737627146372, -5.831002063529039e-05, -0.002657737627146372, 0.0, 0.0009445735015734436, 0.0, -0.002657737627146372, 8.85453493549635e-05]"
