id,topic_id,timestamp,data
1,1,1714499529793250307,"[331.75, 246.25, 418.11352375624256, 316.0, 224.0, 418.11352375624256]"
3,1,1714499529892998961,"[331.75, 246.25, 418.11352375624256, 316.0, 224.0, 418.11352375624256]"
13,1,1714499529993888640,"[331.75, 246.0, 425.3210836930187, 316.0, 224.0, 425.3210836930187]"
23,1,1714499530093440827,"[331.75, 246.0, 425.3210836930187, 316.0, 224.0, 425.3210836930187]"
34,1,1714499530193866630,"[344.75, 250.0, 425.4675020839948, 329.0, 228.0, 425.4675020839948]"
45,1,1714499530295063567,"[374.25, 248.25, 432.8077988826, 359.0, 227.0, 432.8077988826]"
56,1,1714499530392964451,"[404.0, 240.25, 433.570250973544, 389.0, 219.0, 433.570250973544]"
67,1,1714499530492993126,"[433.25, 235.25, 433.43690161908614, 418.0, 214.0, 433.43690161908614]"
78,1,1714499530593008533,"[460.75, 237.25, 432.93624605389374, 445.0, 216.0, 432.93624605389374]"
89,1,1714499530692867272,"[485.25, 238.25, 431.8754020653574, 469.0, 217.0, 431.8754020653574]"
100,1,1714499530793403026,"[508.25, 239.75, 421.9561954811919, 492.0, 218.0, 421.9561954811919]"
111,1,1714499530893675222,"[530.75, 242.0, 414.0194656752344, 514.0, 220.0, 414.0194656752344]"
122,1,1714499530993846183,"[554.25, 245.75, 409.5959956178991, 537.0, 224.0, 409.5959956178991]"
133,1,1714499531093852323,"[578.25, 249.5, 402.36454922070567, 560.0, 227.0, 402.36454922070567]"
144,1,1714499531193737754,"[601.75, 253.0, 393.5126220837873, 583.0, 230.0, 393.5126220837873]"
155,1,1714499531293853224,"[623.25, 256.5, 384.7828647956651, 604.0, 233.0, 384.7828647956651]"
166,1,1714499531393877837,"[631.75, 259.0, 383.1800139410809, 612.0, 236.0, 383.1800139410809]"
177,1,1714499531492945218,"[630.75, 257.5, 384.27357778845203, 611.0, 234.0, 384.27357778845203]"
188,1,1714499531593101336,"[638.0, 256.75, 378.4641665244809, 618.0, 233.0, 378.4641665244809]"
199,1,1714499531693765062,"[645.25, 256.25, 380.2065409252153, 625.0, 233.0, 380.2065409252153]"
210,1,1714499531793669692,"[645.5, 254.5, 374.45417054734986, 625.0, 231.0, 374.45417054734986]"
221,1,1714499531893064850,"[645.0, 255.0, 376.07387352316874, 625.0, 231.0, 376.07387352316874]"
232,1,1714499531992906372,"[649.75, 253.0, 374.6833781077582, 629.0, 229.0, 374.6833781077582]"
243,1,1714499532093079127,"[651.0, 253.75, 376.2598647006799, 630.0, 230.0, 376.2598647006799]"
254,1,1714499532193020849,"[652.75, 253.25, 368.96976606248273, 632.0, 229.0, 368.96976606248273]"
265,1,1714499532292834417,"[654.0, 252.25, 369.14774556086434, 633.0, 228.0, 369.14774556086434]"
276,1,1714499532392971499,"[655.25, 254.25, 370.4116787410797, 635.0, 230.0, 370.4116787410797]"
287,1,1714499532493960703,"[654.0, 253.25, 369.24461961667515, 633.0, 229.0, 369.24461961667515]"
298,1,1714499532594537917,"[655.5, 252.25, 369.533400610032, 635.0, 228.0, 369.533400610032]"
309,1,1714499532694233969,"[657.75, 250.75, 371.7101909989332, 637.0, 227.0, 371.7101909989332]"
320,1,1714499532794360892,"[657.25, 251.0, 365.2948946234815, 636.0, 227.0, 365.2948946234815]"
331,1,1714499532894158086,"[656.25, 252.25, 367.91589001848234, 635.0, 228.0, 367.91589001848234]"
342,1,1714499532994196252,"[656.25, 253.25, 368.03980216354614, 635.0, 229.0, 368.03980216354614]"
353,1,1714499533094130993,"[658.75, 253.0, 366.45799525426804, 638.0, 229.0, 366.45799525426804]"
364,1,1714499533194333679,"[659.75, 252.0, 366.41322314481096, 639.0, 228.0, 366.41322314481096]"
375,1,1714499533294159336,"[657.0, 251.0, 365.8416805590168, 636.0, 227.0, 365.8416805590168]"
386,1,1714499533395082083,"[658.5, 252.75, 361.3343762700095, 637.0, 228.0, 361.3343762700095]"
397,1,1714499533495078551,"[659.25, 253.25, 369.0133072093775, 638.0, 229.0, 369.0133072093775]"
408,1,1714499533594051935,"[658.75, 253.75, 360.3479639499913, 637.0, 229.0, 360.3479639499913]"
419,1,1714499533693665969,"[660.0, 254.75, 361.84701294295076, 639.0, 230.0, 361.84701294295076]"
430,1,1714499533793734755,"[662.25, 255.75, 362.1065619150812, 641.0, 231.0, 362.1065619150812]"
441,1,1714499533893589099,"[663.25, 255.75, 362.1075211031185, 642.0, 231.0, 362.1075211031185]"
452,1,1714499533994465275,"[663.0, 255.75, 360.9109668730459, 641.0, 231.0, 360.9109668730459]"
463,1,1714499534093402050,"[663.25, 256.0, 356.8085659199754, 642.0, 231.0, 356.8085659199754]"
474,1,1714499534193700169,"[664.25, 256.0, 356.812689171467, 643.0, 231.0, 356.812689171467]"
485,1,1714499534293265486,"[665.25, 256.0, 356.81648598594506, 644.0, 231.0, 356.81648598594506]"
496,1,1714499534393538497,"[664.5, 257.0, 356.98209075686424, 643.0, 232.0, 356.98209075686424]"
507,1,1714499534492742437,"[661.5, 254.75, 361.18288447978455, 640.0, 230.0, 361.18288447978455]"
518,1,1714499534593407830,"[663.0, 255.0, 355.4882810224045, 641.0, 230.0, 355.4882810224045]"
529,1,1714499534693795943,"[663.0, 256.75, 361.0209876115567, 641.0, 232.0, 361.0209876115567]"
540,1,1714499534794253958,"[662.5, 257.5, 358.4845670330595, 641.0, 233.0, 358.4845670330595]"
551,1,1714499534894813490,"[662.75, 257.0, 356.2399630902691, 641.0, 232.0, 356.2399630902691]"
562,1,1714499534994187508,"[662.75, 257.5, 357.43873414516713, 641.0, 232.0, 357.43873414516713]"
573,1,1714499535094122374,"[661.5, 258.0, 357.0401444540282, 640.0, 233.0, 357.0401444540282]"
584,1,1714499535193825763,"[661.25, 258.0, 356.9594478755634, 640.0, 233.0, 356.9594478755634]"
595,1,1714499535295047571,"[662.0, 258.0, 355.7940129614932, 640.0, 233.0, 355.7940129614932]"
606,1,1714499535394139322,"[662.75, 258.0, 356.3409398067628, 641.0, 233.0, 356.3409398067628]"
617,1,1714499535493897912,"[661.75, 259.5, 349.66609322285115, 640.0, 234.0, 349.66609322285115]"
628,1,1714499535593905243,"[662.5, 258.5, 349.9894325661784, 641.0, 233.0, 349.9894325661784]"
639,1,1714499535694247973,"[663.75, 259.25, 354.7106903173055, 642.0, 234.0, 354.7106903173055]"
650,1,1714499535794165540,"[662.75, 260.25, 354.7762542945937, 641.0, 235.0, 354.7762542945937]"
661,1,1714499535893708129,"[661.5, 257.5, 357.5699234255532, 639.0, 233.0, 357.5699234255532]"
672,1,1714499535992849818,"[662.5, 257.25, 353.5288009250932, 640.0, 232.0, 353.5288009250932]"
683,1,1714499536093235686,"[664.25, 256.0, 355.09476220778083, 642.0, 231.0, 355.09476220778083]"
694,1,1714499536192894937,"[663.5, 256.25, 353.4438927100613, 641.0, 231.0, 353.4438927100613]"
705,1,1714499536292938993,"[663.5, 256.25, 353.4438927100613, 641.0, 231.0, 353.4438927100613]"
716,1,1714499536393449824,"[663.25, 257.0, 355.17960190671363, 641.0, 232.0, 355.17960190671363]"
727,1,1714499536493589885,"[666.5, 256.0, 350.6167584919043, 644.0, 231.0, 350.6167584919043]"
738,1,1714499536592874502,"[667.0, 256.25, 352.5260276386117, 644.0, 231.0, 352.5260276386117]"
749,1,1714499536692955465,"[664.25, 256.25, 349.9811177601484, 642.0, 231.0, 349.9811177601484]"
760,1,1714499536792899327,"[665.25, 256.5, 348.88673170217896, 643.0, 231.0, 348.88673170217896]"
771,1,1714499536892873658,"[668.25, 255.5, 348.83536906365964, 646.0, 230.0, 348.83536906365964]"
782,1,1714499536992878147,"[668.25, 255.75, 347.1621158169073, 646.0, 230.0, 347.1621158169073]"
793,1,1714499537093704674,"[666.25, 257.0, 350.06961509493976, 644.0, 231.0, 350.06961509493976]"
804,1,1714499537194359805,"[666.5, 257.5, 349.09003405524857, 644.0, 232.0, 349.09003405524857]"
815,1,1714499537293719301,"[669.25, 256.5, 348.9415056842018, 647.0, 231.0, 348.9415056842018]"
826,1,1714499537393747304,"[670.5, 256.0, 350.20212074822405, 648.0, 230.0, 350.20212074822405]"
837,1,1714499537493753465,"[669.25, 253.25, 345.8954814685845, 647.0, 228.0, 345.8954814685845]"
848,1,1714499537593822274,"[668.25, 254.75, 347.0995850642653, 646.0, 229.0, 347.0995850642653]"
859,1,1714499537693788760,"[668.5, 255.5, 348.9493733385249, 646.0, 230.0, 348.9493733385249]"
870,1,1714499537793474434,"[668.5, 252.25, 345.1688736571321, 646.0, 227.0, 345.1688736571321]"
881,1,1714499537893304652,"[667.75, 253.5, 347.69419274353567, 645.0, 228.0, 347.69419274353567]"
892,1,1714499537993717286,"[666.25, 254.75, 347.10250040442094, 644.0, 229.0, 347.10250040442094]"
903,1,1714499538094165002,"[668.0, 255.25, 345.11090864844175, 645.0, 230.0, 345.11090864844175]"
914,1,1714499538193476895,"[669.75, 253.75, 346.59639979961634, 647.0, 228.0, 346.59639979961634]"
925,1,1714499538294086633,"[668.0, 254.25, 345.0210173868764, 645.0, 229.0, 345.0210173868764]"
936,1,1714499538393611845,"[668.25, 254.75, 347.0995850642653, 646.0, 229.0, 347.0995850642653]"
947,1,1714499538493342777,"[669.75, 255.0, 341.7570092487955, 647.0, 229.0, 341.7570092487955]"
958,1,1714499538593353684,"[669.75, 255.0, 341.7570092487955, 647.0, 229.0, 341.7570092487955]"
969,1,1714499538693766102,"[668.75, 254.75, 346.67192414662736, 646.0, 229.0, 346.67192414662736]"
980,1,1714499538793679280,"[669.0, 255.0, 342.6317669893961, 647.0, 229.0, 342.6317669893961]"
991,1,1714499538892818363,"[671.25, 255.5, 346.6680133305207, 648.0, 230.0, 346.6680133305207]"
1002,1,1714499538992931738,"[673.0, 254.75, 346.77855451851354, 650.0, 229.0, 346.77855451851354]"
1013,1,1714499539092889438,"[671.75, 255.0, 341.77930296131166, 649.0, 229.0, 341.77930296131166]"
1024,1,1714499539193054455,"[670.75, 255.25, 340.1095963706011, 648.0, 229.0, 340.1095963706011]"
1035,1,1714499539292790908,"[672.0, 255.0, 341.89310545215756, 649.0, 229.0, 341.89310545215756]"
1046,1,1714499539393173146,"[674.25, 254.0, 341.00270334354866, 651.0, 228.0, 341.00270334354866]"
1057,1,1714499539493522463,"[673.0, 255.75, 338.2336244510472, 650.0, 229.0, 338.2336244510472]"
1068,1,1714499539593777454,"[673.75, 255.5, 339.94189614837444, 651.0, 229.0, 339.94189614837444]"
1079,1,1714499539693763468,"[675.25, 255.0, 341.1385189662079, 652.0, 229.0, 341.1385189662079]"
1090,1,1714499539793614439,"[675.75, 255.25, 344.9406672132239, 653.0, 229.0, 344.9406672132239]"
1101,1,1714499539893803223,"[675.25, 256.25, 336.47245888110325, 652.0, 230.0, 336.47245888110325]"
1112,1,1714499539993286994,"[674.75, 256.5, 340.07747782641746, 652.0, 230.0, 340.07747782641746]"
1123,1,1714499540093722580,"[674.5, 256.5, 338.4093780509356, 651.0, 230.0, 338.4093780509356]"
1134,1,1714499540193749897,"[675.5, 256.75, 337.7007891957593, 652.0, 230.0, 337.7007891957593]"
1145,1,1714499540293906627,"[676.5, 256.0, 341.3728646275526, 653.0, 230.0, 341.3728646275526]"
1156,1,1714499540394181123,"[676.75, 256.5, 335.81762204872035, 654.0, 230.0, 335.81762204872035]"
1167,1,1714499540493763736,"[676.5, 254.25, 336.4217328479163, 653.0, 228.0, 336.4217328479163]"
1178,1,1714499540594208764,"[676.5, 254.75, 337.50368092478294, 653.0, 228.0, 337.50368092478294]"
1189,1,1714499540693728396,"[676.25, 254.75, 338.6179402828746, 653.0, 229.0, 338.6179402828746]"
1200,1,1714499540794054785,"[676.5, 255.5, 335.1838804972148, 653.0, 229.0, 335.1838804972148]"
1211,1,1714499540893390542,"[677.5, 255.5, 335.1906855215725, 654.0, 229.0, 335.1906855215725]"
1222,1,1714499540994180588,"[675.25, 253.5, 334.9113764183284, 652.0, 227.0, 334.9113764183284]"
1233,1,1714499541093957675,"[675.25, 255.0, 341.1385189662079, 652.0, 229.0, 341.1385189662079]"
1244,1,1714499541193584043,"[676.5, 255.5, 335.1838804972148, 653.0, 229.0, 335.1838804972148]"
1255,1,1714499541293903033,"[676.5, 255.5, 335.1838804972148, 653.0, 229.0, 335.1838804972148]"
1266,1,1714499541393876419,"[675.25, 256.25, 339.8517811515288, 652.0, 230.0, 339.8517811515288]"
1277,1,1714499541493509418,"[675.25, 256.75, 338.74344068251713, 652.0, 231.0, 338.74344068251713]"
1288,1,1714499541594416032,"[676.5, 256.5, 335.254150779639, 653.0, 230.0, 335.254150779639]"
1299,1,1714499541694129090,"[676.5, 256.5, 335.254150779639, 653.0, 230.0, 335.254150779639]"
1310,1,1714499541794762308,"[674.75, 257.25, 339.430592208898, 651.0, 231.0, 339.430592208898]"
1321,1,1714499541894949064,"[674.75, 256.75, 338.17190996266163, 651.0, 231.0, 338.17190996266163]"
1332,1,1714499541993597968,"[677.0, 256.5, 334.12103200250027, 653.0, 230.0, 334.12103200250027]"
1343,1,1714499542093611390,"[677.25, 257.0, 339.9076773557252, 653.0, 231.0, 339.9076773557252]"
1354,1,1714499542192815791,"[675.75, 257.75, 338.2805848676842, 652.0, 232.0, 338.2805848676842]"
1365,1,1714499542293058459,"[676.5, 258.5, 335.3905969617544, 653.0, 232.0, 335.3905969617544]"
1376,1,1714499542393578424,"[679.0, 257.75, 336.93627121524116, 655.0, 231.0, 336.93627121524116]"
1387,1,1714499542494196392,"[678.75, 257.5, 334.74586062198625, 655.0, 231.0, 334.74586062198625]"
1398,1,1714499542593708339,"[677.75, 258.5, 334.82549657356896, 654.0, 232.0, 334.82549657356896]"
1409,1,1714499542693644196,"[679.0, 258.5, 334.92917834792866, 655.0, 232.0, 334.92917834792866]"
1420,1,1714499542794068784,"[682.0, 257.5, 334.8945047697809, 658.0, 231.0, 334.8945047697809]"
1431,1,1714499542893825858,"[680.75, 257.5, 334.77977254603536, 657.0, 231.0, 334.77977254603536]"
1442,1,1714499542992953734,"[678.5, 258.25, 336.41089785136944, 655.0, 232.0, 336.41089785136944]"
1453,1,1714499543092906154,"[679.25, 257.75, 331.1376313109214, 656.0, 231.0, 331.1376313109214]"
1464,1,1714499543193415883,"[681.25, 256.75, 331.0844903019337, 658.0, 230.0, 331.0844903019337]"
1475,1,1714499543293885851,"[680.5, 257.75, 330.63991969900053, 657.0, 231.0, 330.63991969900053]"
1486,1,1714499543393813762,"[679.25, 258.25, 332.2557658319052, 656.0, 231.0, 332.2557658319052]"
1497,1,1714499543493767886,"[680.25, 257.75, 331.1414805241294, 657.0, 231.0, 331.1414805241294]"
1508,1,1714499543593187426,"[680.5, 257.75, 330.63991969900053, 657.0, 231.0, 330.63991969900053]"
1519,1,1714499543692993330,"[680.0, 257.75, 330.2982907939706, 656.0, 231.0, 330.2982907939706]"
1530,1,1714499543792877510,"[680.25, 257.5, 333.975455721637, 656.0, 231.0, 333.975455721637]"
