id,topic_id,timestamp,data
8,9,1714499529892998961,"[363.5, -11.0, 353.0, -5.0]"
18,9,1714499529993888640,"[363.5, -11.25, 353.0, -5.0]"
29,9,1714499530093440827,"[363.5, -11.25, 353.0, -5.0]"
40,9,1714499530193866630,"[350.5, -7.25, 340.0, -1.0]"
51,9,1714499530295063567,"[321.0, -9.0, 310.0, -2.0]"
62,9,1714499530392964451,"[291.25, -17.0, 280.0, -10.0]"
73,9,1714499530492993126,"[262.0, -22.0, 251.0, -15.0]"
84,9,1714499530593008533,"[234.5, -20.0, 224.0, -13.0]"
95,9,1714499530692867272,"[210.0, -19.0, 200.0, -12.0]"
106,9,1714499530793403026,"[187.0, -17.5, 177.0, -11.0]"
117,9,1714499530893675222,"[164.5, -15.25, 155.0, -9.0]"
128,9,1714499530993846183,"[141.0, -11.5, 132.0, -5.0]"
139,9,1714499531093852323,"[117.0, -7.75, 109.0, -2.0]"
150,9,1714499531193737754,"[93.5, -4.25, 86.0, 1.0]"
161,9,1714499531293853224,"[72.0, -0.75, 65.0, 4.0]"
172,9,1714499531393877837,"[63.5, 1.75, 57.0, 7.0]"
183,9,1714499531492945218,"[64.5, 0.25, 58.0, 5.0]"
194,9,1714499531593101336,"[57.25, -0.5, 51.0, 4.0]"
205,9,1714499531693765062,"[50.0, -1.0, 44.0, 4.0]"
216,9,1714499531793669692,"[49.75, -2.75, 44.0, 2.0]"
227,9,1714499531893064850,"[50.25, -2.25, 44.0, 2.0]"
238,9,1714499531992906372,"[45.5, -4.25, 40.0, -0.0]"
249,9,1714499532093079127,"[44.25, -3.5, 39.0, 1.0]"
260,9,1714499532193020849,"[44.25, -3.5, 39.0, 1.0]"
271,9,1714499532292834417,"[41.25, -5.0, 36.0, -1.0]"
282,9,1714499532392971499,"[40.0, -3.0, 34.0, 1.0]"
293,9,1714499532493960703,"[41.25, -4.0, 36.0, -0.0]"
304,9,1714499532594537917,"[39.75, -5.0, 34.0, -1.0]"
315,9,1714499532694233969,"[37.5, -6.5, 32.0, -2.0]"
