id,topic_id,timestamp,data
2,2,1714499529793250307,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
4,2,1714499529892998961,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
14,2,1714499529993888640,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
24,2,1714499530093440827,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
35,2,1714499530193866630,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
46,2,1714499530295063567,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
57,2,1714499530392964451,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
68,2,1714499530492993126,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
79,2,1714499530593008533,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
90,2,1714499530692867272,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
101,2,1714499530793403026,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
112,2,1714499530893675222,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
123,2,1714499530993846183,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
134,2,1714499531093852323,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
145,2,1714499531193737754,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
156,2,1714499531293853224,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
167,2,1714499531393877837,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
178,2,1714499531492945218,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
189,2,1714499531593101336,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
200,2,1714499531693765062,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
211,2,1714499531793669692,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
222,2,1714499531893064850,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
233,2,1714499531992906372,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
244,2,1714499532093079127,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
255,2,1714499532193020849,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
266,2,1714499532292834417,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
277,2,1714499532392971499,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
288,2,1714499532493960703,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
299,2,1714499532594537917,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
310,2,1714499532694233969,"[695.25, 257.25, 669.0, 229.0, 695.25, 257.25]"
