id,topic_id,timestamp,data
5,5,1714499529892998961,"[-30.518560502819113, 34.303715616493285, -102.43107238156705]"
15,5,1714499529993888640,"[-32.11449715647788, 33.91929166753573, -105.54648285575406]"
26,5,1714499530093440827,"[-32.11449715647788, 33.91929166753573, -105.54648285575406]"
37,5,1714499530193866630,"[-33.3070200575022, 31.45432772912348, -101.955552705931]"
48,5,1714499530295063567,"[-37.830834101556505, 20.64587094718143, -101.70378609187787]"
59,5,1714499530392964451,"[-35.847521879853666, 11.659052266352834, -96.22678291725316]"
70,5,1714499530492993126,"[-33.935009714578634, 4.068019832506733, -89.40139723043958]"
81,5,1714499530593008533,"[-33.73444486571722, -1.4607766377020384, -81.48838066500606]"
92,5,1714499530692867272,"[-33.13154565019781, -6.2686295467649025, -74.40981448478803]"
103,5,1714499530793403026,"[-30.581757855058854, -8.833341127518326, -65.04381333096566]"
114,5,1714499530893675222,"[-28.807033044078118, -11.268313541983533, -56.814140079865]"
125,5,1714499530993846183,"[-29.783583712894593, -16.05651416728307, -50.647993193460806]"
136,5,1714499531093852323,"[-25.68967007407111, -14.837107437905908, -40.58271843423426]"
147,5,1714499531193737754,"[-23.442087416284632, -15.705120349228118, -32.57968923625351]"
158,5,1714499531293853224,"[-21.343946692255788, -16.107650017643575, -25.575470150959724]"
169,5,1714499531393877837,"[-22.701915960739786, -18.347733915931855, -24.074776089761325]"
180,5,1714499531492945218,"[-20.792370921723307, -16.386030449061145, -23.48919563046815]"
191,5,1714499531593101336,"[-19.154416136362784, -16.120269092040044, -21.122472928510387]"
202,5,1714499531693765062,"[-20.28241537534078, -19.038747057871344, -20.62456368529363]"
213,5,1714499531793669692,"[-18.43046928467122, -17.496321064753616, -19.76102573119887]"
224,5,1714499531893064850,"[-17.885612955951313, -16.582862986834257, -19.409253212935713]"
235,5,1714499531992906372,"[-16.27367190096914, -16.076697570186123, -18.021223707304607]"
246,5,1714499532093079127,"[-16.842680969782826, -16.66645830508268, -17.992482466546385]"
257,5,1714499532193020849,"[-16.842680969782826, -16.66645830508268, -17.992482466546385]"
