id,topic_id,timestamp,data
11,12,1714499529892998961,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
21,12,1714499529993888640,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
32,12,1714499530093440827,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
43,12,1714499530193866630,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
54,12,1714499530295063567,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
65,12,1714499530392964451,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
76,12,1714499530492993126,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
87,12,1714499530593008533,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
98,12,1714499530692867272,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
109,12,1714499530793403026,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
120,12,1714499530893675222,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
131,12,1714499530993846183,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
142,12,1714499531093852323,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
153,12,1714499531193737754,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
164,12,1714499531293853224,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
175,12,1714499531393877837,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
186,12,1714499531492945218,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
197,12,1714499531593101336,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
208,12,1714499531693765062,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
219,12,1714499531793669692,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
230,12,1714499531893064850,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
241,12,1714499531992906372,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
252,12,1714499532093079127,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
263,12,1714499532193020849,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
274,12,1714499532292834417,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
285,12,1714499532392971499,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
296,12,1714499532493960703,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
307,12,1714499532594537917,"[0.0004821275304145445, 1.083490996403809, -1.0825297495977582, -1.2502760411315563, 0.6255538184382751, 0.6255555552549807, 0.3347222206786281, 0.33055370679192075, 0.3347222206786281]"
