id,topic_id,timestamp,data
25,3,1714499530093440827,"[150.0, 150.0, 150.0]"
36,3,1714499530193866630,"[150.0, 150.0, 148.16740428540595]"
47,3,1714499530295063567,"[150.0, 150.0, 146.3348085708119]"
58,3,1714499530392964451,"[148.16740428540595, 151.83259571459405, 144.50221285621785]"
69,3,1714499530492993126,"[146.3348085708119, 153.6651914291881, 142.6696171416238]"
80,3,1714499530593008533,"[144.50221285621785, 155.49778714378215, 137.17182999784166]"
91,3,1714499530692867272,"[144.50221285621785, 155.49778714378215, 135.3392342832476]"
102,3,1714499530793403026,"[142.6696171416238, 155.49778714378215, 131.6740428540595]"
113,3,1714499530893675222,"[140.83702142702975, 155.49778714378215, 128.0088514248714]"
124,3,1714499530993846183,"[139.0044257124357, 155.49778714378215, 126.17625571027736]"
135,3,1714499531093852323,"[139.0044257124357, 155.49778714378215, 122.51106428108926]"
146,3,1714499531193737754,"[137.17182999784166, 155.49778714378215, 118.84587285190116]"
157,3,1714499531293853224,"[135.3392342832476, 155.49778714378215, 117.01327713730711]"
168,3,1714499531393877837,"[135.3392342832476, 155.49778714378215, 115.18068142271306]"
179,3,1714499531492945218,"[133.50663856865356, 153.6651914291881, 113.34808570811902]"
190,3,1714499531593101336,"[131.6740428540595, 153.6651914291881, 111.51548999352497]"
201,3,1714499531693765062,"[131.6740428540595, 153.6651914291881, 111.51548999352497]"
212,3,1714499531793669692,"[129.84144713946546, 151.83259571459405, 109.68289427893092]"
223,3,1714499531893064850,"[129.84144713946546, 151.83259571459405, 109.68289427893092]"
234,3,1714499531992906372,"[128.0088514248714, 150.0, 107.85029856433687]"
245,3,1714499532093079127,"[128.0088514248714, 150.0, 107.85029856433687]"
256,3,1714499532193020849,"[128.0088514248714, 150.0, 106.01770284974282]"
267,3,1714499532292834417,"[126.17625571027736, 148.16740428540595, 106.01770284974282]"
278,3,1714499532392971499,"[126.17625571027736, 148.16740428540595, 104.18510713514877]"
289,3,1714499532493960703,"[124.34365999568331, 146.3348085708119, 104.18510713514877]"
300,3,1714499532594537917,"[124.34365999568331, 146.3348085708119, 104.18510713514877]"
311,3,1714499532694233969,"[124.34365999568331, 146.3348085708119, 104.18510713514877]"
322,3,1714499532794360892,"[122.51106428108926, 144.50221285621785, 102.35251142055472]"
333,3,1714499532894158086,"[122.51106428108926, 144.50221285621785, 102.35251142055472]"
344,3,1714499532994196252,"[122.51106428108926, 144.50221285621785, 100.51991570596067]"
355,3,1714499533094130993,"[120.67846856649521, 142.6696171416238, 100.51991570596067]"
366,3,1714499533194333679,"[120.67846856649521, 142.6696171416238, 98.68731999136662]"
377,3,1714499533294159336,"[120.67846856649521, 142.6696171416238, 98.68731999136662]"
388,3,1714499533395082083,"[118.84587285190116, 140.83702142702975, 98.68731999136662]"
399,3,1714499533495078551,"[118.84587285190116, 140.83702142702975, 96.85472427677257]"
410,3,1714499533594051935,"[118.84587285190116, 139.0044257124357, 96.85472427677257]"
421,3,1714499533693665969,"[117.01327713730711, 139.0044257124357, 96.85472427677257]"
432,3,1714499533793734755,"[117.01327713730711, 139.0044257124357, 95.02212856217852]"
443,3,1714499533893589099,"[117.01327713730711, 137.17182999784166, 95.02212856217852]"
454,3,1714499533994465275,"[115.18068142271306, 137.17182999784166, 95.02212856217852]"
465,3,1714499534093402050,"[115.18068142271306, 137.17182999784166, 93.18953284758447]"
476,3,1714499534193700169,"[115.18068142271306, 137.17182999784166, 93.18953284758447]"
487,3,1714499534293265486,"[113.34808570811902, 135.3392342832476, 93.18953284758447]"
498,3,1714499534393538497,"[113.34808570811902, 135.3392342832476, 91.35693713299042]"
509,3,1714499534492742437,"[113.34808570811902, 135.3392342832476, 91.35693713299042]"
520,3,1714499534593407830,"[113.34808570811902, 135.3392342832476, 91.35693713299042]"
531,3,1714499534693795943,"[111.51548999352497, 133.50663856865356, 89.52434141839638]"
542,3,1714499534794253958,"[111.51548999352497, 133.50663856865356, 89.52434141839638]"
553,3,1714499534894813490,"[111.51548999352497, 133.50663856865356, 89.52434141839638]"
564,3,1714499534994187508,"[111.51548999352497, 131.6740428540595, 89.52434141839638]"
575,3,1714499535094122374,"[109.68289427893092, 131.6740428540595, 87.69174570380233]"
586,3,1714499535193825763,"[109.68289427893092, 131.6740428540595, 87.69174570380233]"
597,3,1714499535295047571,"[109.68289427893092, 129.84144713946546, 87.69174570380233]"
608,3,1714499535394139322,"[107.85029856433687, 129.84144713946546, 87.69174570380233]"
619,3,1714499535493897912,"[107.85029856433687, 129.84144713946546, 85.85914998920828]"
630,3,1714499535593905243,"[107.85029856433687, 129.84144713946546, 85.85914998920828]"
641,3,1714499535694247973,"[106.01770284974282, 129.84144713946546, 85.85914998920828]"
652,3,1714499535794165540,"[106.01770284974282, 128.0088514248714, 84.02655427461423]"
663,3,1714499535893708129,"[106.01770284974282, 128.0088514248714, 84.02655427461423]"
674,3,1714499535992849818,"[106.01770284974282, 128.0088514248714, 84.02655427461423]"
685,3,1714499536093235686,"[104.18510713514877, 128.0088514248714, 84.02655427461423]"
696,3,1714499536192894937,"[104.18510713514877, 126.17625571027736, 82.19395856002018]"
707,3,1714499536292938993,"[104.18510713514877, 126.17625571027736, 82.19395856002018]"
718,3,1714499536393449824,"[104.18510713514877, 126.17625571027736, 82.19395856002018]"
729,3,1714499536493589885,"[102.35251142055472, 126.17625571027736, 80.36136284542613]"
740,3,1714499536592874502,"[102.35251142055472, 126.17625571027736, 80.36136284542613]"
751,3,1714499536692955465,"[102.35251142055472, 124.34365999568331, 80.36136284542613]"
762,3,1714499536792899327,"[102.35251142055472, 124.34365999568331, 80.36136284542613]"
773,3,1714499536892873658,"[100.51991570596067, 124.34365999568331, 78.52876713083208]"
784,3,1714499536992878147,"[100.51991570596067, 124.34365999568331, 78.52876713083208]"
795,3,1714499537093704674,"[100.51991570596067, 122.51106428108926, 78.52876713083208]"
806,3,1714499537194359805,"[100.51991570596067, 122.51106428108926, 78.52876713083208]"
817,3,1714499537293719301,"[100.51991570596067, 122.51106428108926, 76.69617141623803]"
828,3,1714499537393747304,"[98.68731999136662, 122.51106428108926, 76.69617141623803]"
839,3,1714499537493753465,"[98.68731999136662, 122.51106428108926, 76.69617141623803]"
850,3,1714499537593822274,"[98.68731999136662, 120.67846856649521, 76.69617141623803]"
861,3,1714499537693788760,"[98.68731999136662, 120.67846856649521, 76.69617141623803]"
872,3,1714499537793474434,"[98.68731999136662, 120.67846856649521, 74.86357570164398]"
883,3,1714499537893304652,"[96.85472427677257, 120.67846856649521, 74.86357570164398]"
894,3,1714499537993717286,"[96.85472427677257, 118.84587285190116, 74.86357570164398]"
905,3,1714499538094165002,"[96.85472427677257, 118.84587285190116, 74.86357570164398]"
916,3,1714499538193476895,"[96.85472427677257, 118.84587285190116, 73.03097998704993]"
927,3,1714499538294086633,"[95.02212856217852, 118.84587285190116, 73.03097998704993]"
938,3,1714499538393611845,"[95.02212856217852, 118.84587285190116, 73.03097998704993]"
949,3,1714499538493342777,"[95.02212856217852, 117.01327713730711, 73.03097998704993]"
960,3,1714499538593353684,"[95.02212856217852, 117.01327713730711, 71.19838427245588]"
971,3,1714499538693766102,"[95.02212856217852, 117.01327713730711, 71.19838427245588]"
982,3,1714499538793679280,"[93.18953284758447, 117.01327713730711, 71.19838427245588]"
993,3,1714499538892818363,"[93.18953284758447, 117.01327713730711, 71.19838427245588]"
1004,3,1714499538992931738,"[93.18953284758447, 115.18068142271306, 71.19838427245588]"
1015,3,1714499539092889438,"[93.18953284758447, 115.18068142271306, 69.36578855786183]"
1026,3,1714499539193054455,"[93.18953284758447, 115.18068142271306, 69.36578855786183]"
1037,3,1714499539292790908,"[93.18953284758447, 115.18068142271306, 69.36578855786183]"
1048,3,1714499539393173146,"[91.35693713299042, 115.18068142271306, 69.36578855786183]"
