id,topic_id,timestamp,data
6,7,1714499529892998961,"[162775.99269782353, -4904.994910518355, -36463.49706711328]"
16,7,1714499529993888640,"[166025.4435025343, -5118.285781723143, -38337.21476455986]"
27,7,1714499530093440827,"[166025.4435025343, -5118.285781723143, -38337.21476455986]"
38,7,1714499530193866630,"[158813.8532759861, -2704.3817141845993, -38350.412495675584]"
49,7,1714499530295063567,"[145635.00708959054, -3746.4994652339906, -43851.19555584728]"
60,7,1714499530392964451,"[128410.22028452909, -8887.212736520301, -44371.82818138213]"
71,7,1714499530492993126,"[111243.2960547426, -12043.062991964738, -43914.934950547846]"
82,7,1714499530593008533,"[95237.71991639202, -10678.830761586489, -42938.27305295314]"
93,7,1714499530692867272,"[81084.5101221306, -9945.783085007275, -41858.61370525149]"
104,7,1714499530793403026,"[66881.9804186022, -8772.939780288125, -38405.2288306212]"
115,7,1714499530893675222,"[54186.181186191425, -7226.944862867955, -35608.16894945155]"
126,7,1714499530993846183,"[41141.603034815475, -4936.6237410613985, -35438.4899698427]"
137,7,1714499531093852323,"[30615.79336682285, -2802.7445927510303, -29784.044043238602]"
148,7,1714499531193737754,"[20056.833821012737, -984.8992559274693, -26326.834621950646]"
159,7,1714499531293853224,"[11241.240736343872, 671.5500448801316, -23123.04928745261]"
170,7,1714499531393877837,"[6785.491615635581, 2029.8453344471013, -23884.70708481459]"
181,7,1714499531492945218,"[8426.581540126444, 1156.8031046074248, -22253.379163087586]"
192,7,1714499531593101336,"[5926.948848244655, 715.736468825892, -20682.878051220934]"
203,7,1714499531693765062,"[1856.7281020390037, 601.5092537237321, -21975.538471777443]"
214,7,1714499531793669692,"[2667.423025447919, -289.55272621572163, -20415.50015924247]"
225,7,1714499531893064850,"[3337.2537038361643, -168.32692878138386, -19753.49120978429]"
236,7,1714499531992906372,"[2288.957202172078, -1081.452200236231, -18465.390840438788]"
247,7,1714499532093079127,"[1551.8270643056294, -685.0941081716022, -18878.59049643996]"
258,7,1714499532193020849,"[1551.8270643056294, -685.0941081716022, -18878.59049643996]"
269,7,1714499532292834417,"[1335.2260431948725, -1440.2868947716104, -17052.0301648831]"
280,7,1714499532392971499,"[-262.249220247385, -557.2429874944633, -18293.370351483674]"
291,7,1714499532493960703,"[1335.5764415482918, -992.0543057511567, -17056.50506508706]"
302,7,1714499532594537917,"[-19.07511150882965, -1457.2467172141567, -17861.631888507807]"
313,7,1714499532694233969,"[-1795.9257249876755, -2063.0135069001417, -19073.689315345157]"
324,7,1714499532794360892,"[-245.8377648441101, -1932.328472868422, -17188.578238151524]"
335,7,1714499532894158086,"[730.141979916717, -1427.6484351685187, -16593.873678854026]"
346,7,1714499532994196252,"[730.387887911972, -982.8501926590839, -16599.462408610583]"
357,7,1714499533094130993,"[-1625.9324795615375, -1057.7111994221161, -18060.02215296456]"
368,7,1714499533194333679,"[-2055.0858633906155, -1508.0203517121588, -18057.81566463823]"
379,7,1714499533294159336,"[-507.9672022324103, -1945.369385684702, -17624.28141033995]"
390,7,1714499533395082083,"[1195.5643756350973, -1260.3425817022098, -14527.826324822872]"
401,7,1714499533495078551,"[-548.746754912112, -985.4499376220647, -16643.369780361925]"
412,7,1714499533594051935,"[1435.425908801254, -823.9193517951757, -14107.263134571387]"
423,7,1714499533693665969,"[-110.36330679900857, -409.85104592409056, -15300.456340801455]"
434,7,1714499533793734755,"[-699.2454999233332, 24.852042157485045, -14937.373672231697]"
445,7,1714499533893589099,"[-1113.4178150402577, 24.852107988327475, -14937.41324000441]"
456,7,1714499533994465275,"[49.40011774632512, 29.801164632609016, -13743.736311056287]"
467,7,1714499534093402050,"[-561.9981548414798, 80.23584547194471, -14041.164068006496]"
478,7,1714499534193700169,"[-967.7570539665176, 80.23677267100985, -14041.326326584935]"
489,7,1714499534293265486,"[-1373.5240740866393, 80.23762646390722, -14041.475739183476]"
500,7,1714499534393538497,"[-730.6494714639966, 502.3194512625832, -13684.69334094273]"
511,7,1714499534492742437,"[-40.327934237837326, -402.30569559257196, -14521.73543903241]"
522,7,1714499534593407830,"[557.227348159915, -331.3465913038734, -12891.42530388879]"
533,7,1714499534693795943,"[49.41517696572737, 454.8019649491919, -13747.92597598097]"
544,7,1714499534794253958,"[-981.2688100115993, 827.0891957511993, -15090.223061372255]"
555,7,1714499534894813490,"[316.72339186200406, 500.9678041283269, -13289.485763859757]"
566,7,1714499534994187508,"[1341.736142026467, 604.9209228525856, -12033.217923586011]"
577,7,1714499535094122374,"[483.4655258743933, 923.1281391151643, -13686.918794441874]"
588,7,1714499535193825763,"[249.6027807564933, 924.9143254375153, -14047.101588838852]"
599,7,1714499535295047571,"[958.471082619144, 915.8612334887391, -12902.512365449418]"
610,7,1714499535394139322,"[316.8131675510149, 919.3058233554643, -13293.252687213007]"
621,7,1714499535493897912,"[1703.2543019811947, 1400.6477169562386, -11771.551033220308]"
632,7,1714499535593905243,"[1093.7696361957624, 999.4030767439835, -12124.261370342208]"
643,7,1714499535694247973,"[427.12367978186376, 1376.4633617500283, -12584.029316181157]"
654,7,1714499535794165540,"[825.8474343704056, 1790.059840852605, -12586.355321669009]"
665,7,1714499535893708129,"[867.4350979760402, 818.159876515274, -13476.12695328455]"
676,7,1714499535992849818,"[1924.4168974461636, 546.5563406069783, -11455.052232618222]"
687,7,1714499536093235686,"[402.20531883007425, 85.4586923517762, -12503.683702527462]"
698,7,1714499536192894937,"[1530.5948983451144, 139.69226631820862, -11452.301033746664]"
709,7,1714499536292938993,"[1530.5948983451144, 139.69226631820862, -11452.301033746664]"
720,7,1714499536393449824,"[956.3390307373793, 498.9180197027612, -12873.811629175314]"
731,7,1714499536493589885,"[-141.87999969469, 85.80175153359056, -11973.592411735057]"
